Id_block,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
60,0.6020929917696026,0.4451380008192627,0.5182634862004071,0.0,0.0,0.0,0.574,0.0,0.0,0.0,0.0
62,0.7312551060265945,0.4421523952591287,0.6120877831060492,0.0,0.07166666666666667,0.05666666666666667,0.39242948753679835,0.0,0.0,0.3595,0.0
63,0.731982479119855,0.6402102505617395,0.4381250409322417,0.0,0.0,0.0,0.7279999999999999,0.0,0.0,0.0,0.0
64,0.7245454640033319,0.4844150534647189,0.6545993806582957,0.0,0.0,0.015666666666666666,0.13993474858344648,0.0,0.0,0.4681892967322551,0.10677777777777779
65,0.6643574104892928,0.5073095900572391,0.5913318265414919,0.08748851673205785,0.10919263640706371,0.14928339789308454,0.23827790031664797,0.12877267829999617,0.0,0.12179999999999999,0.41579999999999995
66,0.702625382482887,0.37206322610145787,0.571032349748909,0.0,0.0,0.0,0.121,0.0,0.0,0.24025,0.28791689699309186
67,0.6468115041294213,0.5638686134683536,0.5992467187755776,0.07290709727671486,0.09099386367255309,0.1530694982442371,0.15133333333333332,0.10731056524999681,0.12633333333333333,0.24616666666666667,0.16666666666666666
68,0.6794982939846973,0.6411355944201996,0.6597948716344003,0.14581419455342973,0.18198772734510618,0.24880566315514088,0.2259056250832985,0.21462113049999362,0.15633333333333332,0.0,0.0
69,0.705832857618299,0.43421977494988195,0.5810253555588066,0.0,0.0,0.0,0.36723895841663184,0.0,0.24466666666666667,0.15366666666666667,0.159
70,0.7061406891763125,0.6857672921045244,0.66789815961221,0.0,0.0,0.086,0.33828782567882404,0.0,0.176,0.2696767213871538,0.5820000000000001
71,0.6545271952460631,0.40622603522568934,0.4899117429379903,0.0,0.0,0.02925,0.301625,0.0479886686175408,0.027375,0.2413346478247549,0.125
72,0.7476493505081482,0.5045357098481992,0.6737735900897526,0.0,0.0,0.02457142857142857,0.19822509305109257,0.0,0.12842857142857142,0.4017647775391868,0.36614285714285716
73,0.5784286559111117,0.4087916809624686,0.4815136183528139,0.0,0.0,0.0,0.18233333333333335,0.0,0.22133333333333335,0.20589239419934638,0.29166666666666663
74,0.8024733948546023,0.3443872702128585,0.7925175470585678,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.0
75,0.47153305032897,0.47853091401365705,0.45470371637650137,0.0,0.0,0.0705,0.0,0.0,0.2225,0.0,0.25
76,0.5926580287769633,0.4783387620515522,0.5980417308370815,0.0,0.0,0.0,0.2259056250832985,0.0,0.0,0.3882328997302295,0.13799999999999998
77,0.4514514297296809,0.5497502643442527,0.4848802954012125,0.2266106459150723,0.3278945886616046,0.18660424736635567,0.0,0.1609658478749952,0.0,0.0,0.1465
78,0.5679687427772907,0.5085078311890002,0.478478905212981,0.0,0.0,0.112,0.2735,0.0,0.1095,0.3088385912990196,0.4845
79,0.4879350036228973,0.5220598845334029,0.5221005236911345,0.25688786072320835,0.1485,0.1538127213280886,0.18749999999999997,0.092,0.121,0.0,0.0
80,0.7532639855396768,0.48130707330997663,0.6082950371378797,0.0,0.086,0.068,0.3922537140045956,0.0,0.1078,0.392,0.25780000000000003
81,0.5812662399927992,0.5535942085585888,0.5180546106035009,0.1093606459150723,0.13649079550882964,0.18660424736635567,0.1694292188124739,0.1609658478749952,0.0,0.17775,0.13275
82,0.603202036795365,0.5683818448211214,0.5822001202962288,0.2187212918301446,0.2729815910176593,0.37320849473271134,0.2345,0.3219316957499904,0.0,0.21800223313577635,0.207
83,0.6450686734321063,0.4666180686730582,0.6334036312924971,0.056100000000000004,0.0,0.0437,0.12367168752498955,0.0156,0.0852,0.16710000000000003,0.12189999999999998
84,0.935,0.427,0.551,0.0,0.0,0.0,0.493,0.0,0.0,0.0,0.0
85,0.5905758246036014,0.411654398577044,0.5928806198723214,0.0,0.0,0.0,0.0,0.0,0.0,0.3085,0.258
86,0.6514493343565848,0.46845590395892867,0.5838487561584345,0.19601182706133163,0.07405193077074472,0.1,0.23414337504997912,0.10610815424999634,0.0,0.11240000000000003,0.0
87,0.7530840161040055,0.5336303230967077,0.5739162327922889,0.0,0.0,0.0,0.2465,0.0,0.0,0.0,0.30129213946679995
88,0.5711680322080109,0.6402606461934153,0.5968324655845777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6025842789335999
