Id_block,Mots,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
13,oie,0.479,0.283,0.265,0,0,0,0,0,0,0.0,0.0
13,stupide,0.198,0.333,0.179,1,1,0,0,0,0,0.0,0.0
13,maison,0.587,0.135,0.533,0,0,0,1,0,0,0.0,0.0
13,affaire,0.52,0.459,0.657,0,0,0,0,0,0,0.0,0.0
13,imbécile,0.082,0.569,0.26,1,1,0,0,0,0,0.0,0.0
14,temps,0.604,0.288,0.609,0,0,0,0,0,0,0.0,1
14,mère,0.931,0.408,0.725,0,0,0,0,1,0,1,0.406
14,marier,0.896,0.765,0.673,0,0,0,1,0,0,1,1
14,mot,0.552,0.255,0.482,0,0,0,0,0,0,0.0,0.4919999999999999
14,tour,0.531,0.398,0.482,1,1,0,0,0,1,0.0,0.0
14,homme,0.688,0.427,0.767,0,0,0,0,0,0,0.0,0.0
14,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
14,maire,0.469,0.481,0.818,0,0,0,0,0,0,0.0,0.0
15,maire,0.469,0.481,0.818,0,0,0,0,0,0,0.0,0.0
15,affaire,0.52,0.459,0.657,0,0,0,0,0,0,0.0,0.0
15,garde,0.653,0.51,0.586,0,0,0,0,0,0,1,0.0
15,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
15,avance,0.673,0.472,0.858,0,0,1,0,0,1,0.0,1
15,animal,0.521,0.51,0.513,0,1,1,0,0,0,0.0,0.0
15,paysan,0.53,0.275,0.407,0,0,0,0,0,0,0.0,0.0
15,raison,0.781,0.455,0.712,0,0,0,0,0,0,0.0,0.0
16,faire,0.684,0.42,0.48,0,0,0,0,0,0,0.0,0.0
16,loi,0.592,0.33,0.673,0,0,0,0,0,0,1,0.0
16,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
16,maire,0.469,0.481,0.818,0,0,0,0,0,0,0.0,0.0
16,opposition,0.135,0.729,0.592,1,0,0,0,0,0,0.297,0.0
16,cuisine,0.7,0.234,0.398,0,0,0,0,0,0,0.0,0.0
16,famille,0.968,0.383,0.643,0,0,0,0,0,0,0.0,0.0
17,chien,0.417,0.528,0.582,0,0,0,0,0,0,0.0,0.0
17,homme,0.688,0.427,0.767,0,0,0,0,0,0,0.0,0.0
17,ville,0.551,0.299,0.627,0,0,0,0,0,0,0.0,0.0
17,étonner,0.729,0.675,0.474,0,0,1,0,0,1,0.0,0.0
17,jour,0.75,0.324,0.454,0,0,0,0,0,0,0.0,0.0
17,demander,0.625,0.51,0.731,1,0,0,0,0,0,0.0,1
17,main,0.542,0.314,0.434,0,0,0,0,0,0,0.0,0.0
17,recevoir,0.719,0.562,0.623,0,0,0,0,0,0,0.0,1
17,leçon,0.704,0.577,0.593,0,0,0,0,0,0,0.0,0.0
18,bien,0.938,0.368,0.534,0,0,1,1,0,1,1,0.0
18,premier,0.708,0.275,0.446,0,0,0,1,0,0,0.0,0.0
18,homme,0.688,0.427,0.767,0,0,0,0,0,0,0.0,0.0
18,ville,0.551,0.299,0.627,0,0,0,0,0,0,0.0,0.0
18,malheur,0.34,0.606,0.204,0,1,1,0,1,0,0.0,0.0
18,entrer,0.708,0.47,0.5,0,0,0,0,0,0,0.0,0.633
18,maison,0.587,0.135,0.533,0,0,0,1,0,0,0.0,0.0
18,demander,0.625,0.51,0.731,1,0,0,0,0,0,0.0,1
18,main,0.542,0.314,0.434,0,0,0,0,0,0,0.0,0.0
18,nuit,0.598,0.396,0.404,0,0,1,0,1,0,0.0,0.0
18,chercher,0.622,0.429,0.482,0,0,0,0,0,0,0.0,1
18,chambre,0.729,0.283,0.445,0,0,0,0,0,0,0.0,0.0
18,fusil,0.329,0.9,0.718,1,0,1,0,0,0,0.0,0.0
18,as,0.467,0.545,0.441,0,0,0,1,0,0,0.0,0.0
18,pension,0.612,0.477,0.464,0,0,0,0,0,0,0.0,0.0
19,encre,0.471,0.408,0.235,0,0,0,0,0,0,0.0,0.0
19,affaire,0.52,0.459,0.657,0,0,0,0,0,0,0.0,0.0
19,jouer,0.812,0.765,0.358,0,0,0,1,0,0,0.0,0.57
19,dame,0.694,0.48,0.5,1,1,0,0,0,0,0.344,0.0
19,aller,0.51,0.441,0.444,0,0,0,0,0,0,0.0,0.0
19,théâtre,0.76,0.635,0.516,0,0,0,1,0,0,0.0,0.0
19,mettre,0.52,0.398,0.51,0,0,0,0,0,0,0.641,0.0
19,bicyclette,0.708,0.5,0.333,0,0,0,0,0,0,0.0,0.0
19,lieu,0.727,0.316,0.395,0,0,0,0,0,0,0.0,0.0
19,tourner,0.551,0.422,0.345,1,0,1,0,0,1,0.0,0.0
19,façon,0.48,0.275,0.42,0,0,0,0,0,0,0.0,0.0
19,manger,0.731,0.5,0.464,0,0,0,0,0,0,0.0,0.0
19,tête,0.53,0.472,0.558,0,0,0,0,0,0,0.0,0.0
19,paysan,0.53,0.275,0.407,0,0,0,0,0,0,0.0,0.0
19,homme,0.688,0.427,0.767,0,0,0,0,0,0,0.0,0.0
19,drôle,0.918,0.61,0.566,0,0,0,1,0,0,0.0,0.0
19,organisation,0.81,0.535,0.851,0,0,0,0,0,0,1,0.203
19,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
20,monde,0.622,0.394,0.75,0,0,0,0,0,0,0.0,0.0
20,nouveau,0.745,0.741,0.52,0,0,0,0,0,0,0.0,0.0
20,lettre,0.635,0.279,0.342,0,0,0,0,0,0,0.0,0.0
21,lettre,0.635,0.279,0.342,0,0,0,0,0,0,0.0,0.0
21,temps,0.604,0.288,0.609,0,0,0,0,0,0,0.0,1
21,démission,0.145,0.392,0.31,0,0,0,0,1,1,0.0,0.0
21,fin,0.344,0.365,0.492,0,0,1,0,1,0,0.0,0.0
22,imbécile,0.082,0.569,0.26,1,1,0,0,0,0,0.0,0.0
22,obtenir,0.76,0.438,0.731,0,0,0,1,0,0,0.0,0.641
22,ordre,0.602,0.35,0.72,0,0,0,0,0,0,0.0,0.0
22,rester,0.604,0.275,0.516,0,0,0,0,0,0,0.0,0.0
22,contenir,0.542,0.49,0.658,0,0,0,0,0,0,0.0,0.0
22,homme,0.688,0.427,0.767,0,0,0,0,0,0,0.0,0.0
22,mérite,0.854,0.5,0.722,0,0,0,0,0,0,1,0.602
22,heure,0.552,0.265,0.336,0,0,0,0,0,0,0.0,0.516
23,parler,0.833,0.346,0.594,0,0,0,0,0,0,0.0,0.0
23,mérite,0.854,0.5,0.722,0,0,0,0,0,0,1,0.602
23,maire,0.469,0.481,0.818,0,0,0,0,0,0,0.0,0.0
23,partie,0.663,0.278,0.36,0,0,0,1,0,0,0.0,0.0
23,société,0.674,0.464,0.782,0,0,0,0,0,0,0.0,0.0
23,chapeau,0.604,0.183,0.353,0,0,0,0,0,0,0.0,0.0
23,banquet,0.765,0.571,0.6,0,0,0,1,0,0,0.0,0.0
23,occasion,0.7,0.451,0.398,0,0,0,0,0,1,0.0,0.0
23,candidat,0.662,0.625,0.765,0,0,0,0,0,0,0.0,0.0
24,homme,0.688,0.427,0.767,0,0,0,0,0,0,0.0,0.0
24,main,0.542,0.314,0.434,0,0,0,0,0,0,0.0,0.0
24,concours,0.667,0.698,0.717,1,0,1,0,0,0,0.0,0.523
24,rester,0.604,0.275,0.516,0,0,0,0,0,0,0.0,0.0
24,médaille,0.854,0.555,0.746,0,0,0,0,0,1,0.461,0.477
25,monde,0.622,0.394,0.75,0,0,0,0,0,0,0.0,0.0
25,verre,0.49,0.404,0.322,0,0,0,0,0,0,0.0,0.0
25,cuisine,0.7,0.234,0.398,0,0,0,0,0,0,0.0,0.0
25,facteur,0.643,0.482,0.455,0,0,0,0,0,0,0.0,0.0
25,curieux,0.292,0.558,0.433,0,0,0,0,0,0,0.398,0.4772722505661285
25,lettre,0.635,0.279,0.342,0,0,0,0,0,0,0.0,0.0
26,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
27,neveu,0.719,0.337,0.412,0,0,0,0,0,0,0.0,0.0
27,espèce,0.561,0.33,0.645,0,0,0,0,0,0,0.0,0.0
27,inspecteur,0.418,0.58,0.852,0,0,0,0,0,0,0.0,0.0
27,assesseur,0.551,0.538,0.764,0,0,0,0,0,0,0.0,0.0
28,agriculture,0.643,0.473,0.445,0,0,0,0,0,0,1,0.0
28,montrer,0.622,0.54,0.491,0,0,1,0,0,0,0.0,0.0
28,ordre,0.602,0.35,0.72,0,0,0,0,0,0,0.0,0.0
28,affaire,0.52,0.459,0.657,0,0,0,0,0,0,0.0,0.0
29,chose,0.449,0.222,0.26,1,1,1,0,0,0,0.0,0.0
29,autorité,0.592,0.592,0.934,0,0,0,0,0,0,1,0.0
29,fidèle,0.896,0.265,0.657,0,0,0,1,0,0,1,0.0
29,dévouement,0.802,0.561,0.673,0,0,0,0,0,0,1,0.0
29,maison,0.587,0.135,0.533,0,0,0,1,0,0,0.0,0.0
31,honorer,0.854,0.588,0.735,0,0,0,0,0,0,0.0,0.0
31,histoire,0.729,0.382,0.754,1,0,0,0,1,0,0.0,0.0
31,jus,0.776,0.281,0.352,0,0,0,0,0,0,0.0,0.0
31,faire,0.684,0.42,0.48,0,0,0,0,0,0,0.0,0.0
31,nouveau,0.745,0.741,0.52,0,0,0,0,0,0,0.0,0.0
31,aura,0.76,0.333,0.5,0,0,0,1,0,0,0.0,0.0
31,femme,0.865,0.5,0.578,0,0,0,0,0,0,0.0,0.0
31,kaiser,0.47,0.509,0.69,0,0,0,0,0,0,0.0,0.0
32,maire,0.469,0.481,0.818,0,0,0,0,0,0,0.0,0.0
32,fin,0.344,0.365,0.492,0,0,1,0,1,0,0.0,0.0
32,compte,0.343,0.373,0.5,0,0,0,0,0,0,0.523,0.0
32,affaire,0.52,0.459,0.657,0,0,0,0,0,0,0.0,0.0
32,ruban,0.531,0.277,0.254,1,0,0,0,0,0,0.0,0.328
32,flotte,0.688,0.394,0.344,0,0,0,0,0,0,0.0,0.0
32,air,0.708,0.163,0.427,0,1,0,0,0,0,0.0,0.0
32,décoration,0.878,0.553,0.526,0,0,0,0,0,0,0.461,0.477
32,rage,0.219,0.927,0.598,1,0,1,0,0,0,0.0,0.0
32,facteur,0.643,0.482,0.455,0,0,0,0,0,0,0.0,0.0
32,lettre,0.635,0.279,0.342,0,0,0,0,0,0,0.0,0.0
32,obtenir,0.76,0.438,0.731,0,0,0,1,0,0,0.0,0.641
33,lettre,0.635,0.279,0.342,0,0,0,0,0,0,0.0,0.0
33,donner,0.521,0.441,0.694,0,0,0,0,0,0,0.4899619895217705,0.414
33,démission,0.145,0.392,0.31,0,0,0,0,1,1,0.0,0.0
33,peur,0.073,0.84,0.293,1,0,1,0,0,1,0.0,0.531
33,fin,0.344,0.365,0.492,0,0,1,0,1,0,0.0,0.0
33,compte,0.343,0.373,0.5,0,0,0,0,0,0,0.523,0.0
33,opposition,0.135,0.729,0.592,1,0,0,0,0,0,0.297,0.0
34,officier,0.688,0.453,0.704,0,0,0,0,0,0,1,0.0
34,sucre,0.896,0.382,0.402,0,0,0,0,0,0,0.0,0.0
34,bien,0.938,0.368,0.534,0,0,1,1,0,1,1,0.0
34,tête,0.53,0.472,0.558,0,0,0,0,0,0,0.0,0.0
34,as,0.467,0.545,0.441,0,0,0,1,0,0,0.0,0.0
34,raison,0.781,0.455,0.712,0,0,0,0,0,0,0.0,0.0
35,membre,0.698,0.333,0.555,0,0,0,0,0,0,0.0,0.0
35,candidat,0.662,0.625,0.765,0,0,0,0,0,0,0.0,0.0
35,vérité,0.971,0.4,0.685,0,0,0,0,0,0,1,0.0
35,main,0.542,0.314,0.434,0,0,0,0,0,0,0.0,0.0
36,mettre,0.52,0.398,0.51,0,0,0,0,0,0,0.641,0.0
36,tableau,0.521,0.396,0.568,0,0,0,0,0,0,0.0,0.0
36,chambre,0.729,0.283,0.445,0,0,0,0,0,0,0.0,0.0
36,façon,0.48,0.275,0.42,0,0,0,0,0,0,0.0,0.0
36,voie,0.449,0.49,0.451,0,0,0,0,0,0,0.0,0.0
36,diplôme,0.75,0.462,0.731,0,0,0,1,0,0,0.531,0.0
36,gras,0.286,0.361,0.325,0,1,0,0,0,0,0.0,0.0
36,pendre,0.323,0.529,0.446,0,0,0,0,0,0,0.0,0.0
36,figure,0.688,0.328,0.509,0,0,0,0,0,0,0.523,0.0
36,conscription,0.396,0.775,0.642,0,0,1,0,0,0,0.0,0.0
36,uniforme,0.57,0.245,0.655,0,0,0,0,0,0,0.0,0.0
36,genre,0.582,0.349,0.561,0,0,0,0,0,0,0.375,0.695
36,faire,0.684,0.42,0.48,0,0,0,0,0,0,0.0,0.0
36,saut,0.75,0.663,0.667,0,0,0,1,0,0,0.0,0.273
36,école,0.602,0.407,0.672,0,0,0,0,0,0,1,0.0
36,recommander,0.812,0.439,0.672,0,0,0,0,0,0,1,0.0
36,ordre,0.602,0.35,0.72,0,0,0,0,0,0,0.0,0.0
36,parler,0.833,0.346,0.594,0,0,0,0,0,0,0.0,0.0
36,rage,0.219,0.927,0.598,1,0,1,0,0,0,0.0,0.0
37,faire,0.684,0.42,0.48,0,0,0,0,0,0,0.0,0.0
37,entièrement,0.69,0.353,0.696,0,0,0,0,0,0,0.0,0.0
37,chambre,0.729,0.283,0.445,0,0,0,0,0,0,0.0,0.0
37,ménagerie,0.573,0.48,0.538,1,1,0,0,0,1,0.0,0.0
37,carte,0.561,0.229,0.463,0,0,0,0,0,0,0.0,0.0
37,histoire,0.729,0.382,0.754,1,0,0,0,1,0,0.0,0.0
37,prévenir,0.429,0.647,0.564,0,0,0,0,0,0,0.305,1
37,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
38,fusil,0.329,0.9,0.718,1,0,1,0,0,0,0.0,0.0
38,allemand,0.438,0.29,0.57,0,0,0,0,0,0,0.0,0.0
38,demi,0.49,0.429,0.44,0,0,0,0,0,0,0.0,0.0
38,dictionnaire,0.62,0.25,0.598,0,0,0,0,0,0,1,0.0
38,langue,0.542,0.432,0.482,0,0,0,0,0,0,0.0,0.0
39,as,0.467,0.545,0.441,0,0,0,1,0,0,0.0,0.0
39,pension,0.612,0.477,0.464,0,0,0,0,0,0,0.0,0.0
39,bien,0.938,0.368,0.534,0,0,1,1,0,1,1,0.0
39,vue,0.698,0.39,0.45,0,0,0,0,0,0,0.0,0.5306551306240826
40,bon,0.622,0.416,0.601,0,0,0,0,0,1,0.0,0.0
40,retenir,0.32,0.451,0.444,0,0,0,0,0,0,0.0,0.0
40,philosophie,0.684,0.255,0.64,0,0,0,0,0,0,0.0,0.0
41,parler,0.833,0.346,0.594,0,0,0,0,0,0,0.0,0.0
41,affaire,0.52,0.459,0.657,0,0,0,0,0,0,0.0,0.0
41,maison,0.587,0.135,0.533,0,0,0,1,0,0,0.0,0.0
41,minute,0.582,0.279,0.356,0,0,0,0,0,0,0.0,0.0
42,femme,0.865,0.5,0.578,0,0,0,0,0,0,0.0,0.0
42,expression,0.79,0.65,0.721,0,0,0,0,0,0,0.0,0.0
42,dictionnaire,0.62,0.25,0.598,0,0,0,0,0,0,1,0.0
42,tendre,0.604,0.398,0.412,0,0,0,0,0,0,0.0,0.0
42,jeunesse,0.938,0.608,0.736,1,0,1,0,0,1,0.0,0.492
42,heureux,0.939,0.548,0.795,0,0,0,1,0,0,0.609,0.555
42,rencontrer,0.76,0.51,0.58,0,0,0,0,0,1,0.0,0.0
42,agriculture,0.643,0.473,0.445,0,0,0,0,0,0,1,0.0
42,tranquille,0.75,0.213,0.653,0,0,0,0,1,0,0.0,0.0
42,modeste,0.49,0.23,0.471,0,0,0,0,1,0,1,0.0
42,existence,0.76,0.513,0.771,0,0,0,1,0,0,0.0,0.0
42,souffle,0.684,0.392,0.451,1,0,1,0,0,1,0.0,0.0
42,ville,0.551,0.299,0.627,0,0,0,0,0,0,0.0,0.0
42,parfum,0.633,0.41,0.491,0,0,0,1,0,0,0.0,0.0
42,poétique,0.833,0.306,0.353,0,0,0,0,0,0,0.0,0.0
42,élément,0.531,0.259,0.481,0,0,0,0,0,0,0.0,0.0
42,écrire,0.612,0.387,0.534,0,0,0,0,0,0,0.0,0.0
42,sujet,0.52,0.276,0.427,1,1,0,0,1,0,0.0,0.0
42,poésie,0.697,0.235,0.629,0,0,0,0,0,0,0.0,0.0
43,faire,0.684,0.42,0.48,0,0,0,0,0,0,0.0,0.0
43,connaissance,0.847,0.43,0.896,0,0,0,0,0,0,0.0,0.0
43,énergique,0.677,0.529,0.438,0,0,0,1,0,0,0.0,0.0
43,terre,0.582,0.26,0.616,0,0,0,0,0,0,0.0,0.0
43,sincère,0.918,0.265,0.725,0,0,0,1,1,1,1,0.0
43,franc,0.582,0.413,0.667,0,0,0,0,0,1,0.560308380184426,0.422
43,libre,0.698,0.458,0.644,0,0,0,1,0,0,0.516,0.0
43,noble,0.675,0.286,0.709,0,0,0,0,0,0,1,0.0
43,bonheur,0.96,0.732,0.85,0,0,0,1,0,0,0.0,1
43,trouver,0.774,0.555,0.58,0,0,0,0,0,0,0.0,0.0
43,retraite,0.448,0.412,0.562,0,0,1,0,1,0,1,1
43,joie,0.98,0.824,0.794,0,0,0,1,0,0,0.0,0.0
43,remettre,0.51,0.509,0.473,0,0,0,0,0,0,0.0,0.0
43,dictionnaire,0.62,0.25,0.598,0,0,0,0,0,0,1,0.0
44,liberté,0.938,0.579,0.836,0,0,0,1,0,1,1,1
44,offrir,0.571,0.58,0.575,0,0,0,1,0,0,0.0,0.0
44,bouquet,0.552,0.358,0.473,0,0,0,0,0,0,0.375,0.0
44,témoignage,0.615,0.578,0.643,0,0,0,0,0,0,1,0.0
44,adoration,0.885,0.699,0.708,0,0,1,1,0,0,1,0.422
45,poésie,0.697,0.235,0.629,0,0,0,0,0,0,0.0,0.0
45,orner,0.91,0.424,0.482,0,0,0,0,0,0,0.0,0.0
45,foyer,0.51,0.285,0.395,0,0,0,0,0,0,0.0,0.0
45,occasion,0.7,0.451,0.398,0,0,0,0,0,1,0.0,0.0
45,diplôme,0.75,0.462,0.731,0,0,0,1,0,0,0.531,0.0
45,gras,0.286,0.361,0.325,0,1,0,0,0,0,0.0,0.0
45,agricole,0.686,0.321,0.473,0,0,0,0,0,0,0.0,0.0
45,charmant,0.816,0.52,0.637,0,0,0,1,0,0,1,1
45,doute,0.395,0.351,0.231,0,0,1,0,1,0,0.0,0.0
45,classique,0.643,0.198,0.536,0,0,0,0,0,0,0.0,0.0
46,charmant,0.816,0.52,0.637,0,0,0,1,0,0,1,1
46,originalité,0.898,0.5,0.824,0,0,0,0,0,1,0.0,0.0
46,goût,0.802,0.406,0.465,0,1,0,0,1,0,0.5236977857014572,0.4936400906761277
46,enthousiaste,0.823,0.719,0.806,0,0,0,1,0,1,0.4481708677422932,0.688
47,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
47,accord,0.729,0.394,0.539,0,0,0,0,0,0,1,0.0
48,pire,0.062,0.704,0.225,0,0,1,0,1,0,0.0,0.0
48,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
49,homme,0.688,0.427,0.767,0,0,0,0,0,0,0.0,0.0
49,ville,0.551,0.299,0.627,0,0,0,0,0,0,0.0,0.0
49,scène,0.57,0.34,0.578,0,0,0,0,0,0,0.0,0.0
49,maison,0.587,0.135,0.533,0,0,0,1,0,0,0.0,0.0
50,note,0.625,0.235,0.407,0,0,0,0,0,0,0.0,0.0
50,expression,0.79,0.65,0.721,0,0,0,0,0,0,0.0,0.0
50,situation,0.531,0.387,0.6,0,0,0,0,0,0,0.0,0.0
50,faire,0.684,0.42,0.48,0,0,0,0,0,0,0.0,0.0
50,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
50,bien,0.938,0.368,0.534,0,0,1,1,0,1,1,0.0
50,tuer,0.133,0.92,0.585,1,0,1,0,1,0,0.0,0.0
50,premier,0.708,0.275,0.446,0,0,0,1,0,0,0.0,0.0
50,demander,0.625,0.51,0.731,1,0,0,0,0,0,0.0,1
50,main,0.542,0.314,0.434,0,0,0,0,0,0,0.0,0.0
51,faire,0.684,0.42,0.48,0,0,0,0,0,0,0.0,0.0
51,possible,0.688,0.316,0.548,0,0,0,0,0,1,0.0,0.0
51,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
51,suite,0.79,0.42,0.4,0,0,0,0,0,0,0.0,1
51,idée,0.448,0.551,0.57,0,0,0,0,0,0,0.0,0.32
51,gouvernement,0.427,0.53,0.85,0,0,1,0,0,0,0.594,0.0
51,inspecteur,0.418,0.58,0.852,0,0,0,0,0,0,0.0,0.0
51,bétail,0.729,0.42,0.519,0,0,0,0,0,0,0.0,0.0
52,doute,0.395,0.351,0.231,0,0,1,0,1,0,0.0,0.0
52,nom,0.531,0.23,0.477,0,0,0,0,0,0,0.0,0.0
52,moment,0.604,0.435,0.509,0,0,0,0,0,0,0.0,0.0
52,bien,0.938,0.368,0.534,0,0,1,1,0,1,1,0.0
52,simple,0.327,0.491,0.339,0,0,0,0,0,0,1,0.0
52,chose,0.449,0.222,0.26,1,1,1,0,0,0,0.0,0.0
52,journée,0.719,0.269,0.389,0,0,0,0,0,0,0.0,0.0
52,impossible,0.153,0.51,0.407,0,0,0,0,1,0,0.0,0.0
52,taureau,0.521,0.64,0.644,0,0,1,0,0,0,0.0,0.0
53,tentation,0.365,0.817,0.56,0,0,0,0,0,0,0.0,0.0
53,mettre,0.52,0.398,0.51,0,0,0,0,0,0,0.641,0.0
53,profit,0.93,0.462,0.721,0,0,0,1,0,0,0.4980918346390808,0.6456780268492404
53,dialecte,0.635,0.422,0.526,0,0,0,0,0,0,0.0,0.0
53,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
53,situation,0.531,0.387,0.6,0,0,0,0,0,0,0.0,0.0
53,nom,0.531,0.23,0.477,0,0,0,0,0,0,0.0,0.0
54,possible,0.688,0.316,0.548,0,0,0,0,0,1,0.0,0.0
54,suite,0.79,0.42,0.4,0,0,0,0,0,0,0.0,1
54,père,0.812,0.333,0.824,0,0,0,0,0,0,1,0.0
54,furieux,0.219,0.873,0.277,1,1,1,0,0,0,0.0,0.0
54,malheur,0.34,0.606,0.204,0,1,1,0,1,0,0.0,0.0
