Id_block,Mots,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
18,maison,0.6701485966188446,0.2761480525313476,0.5537241657527012,0.0,0.0,0.0,0.559,0.0,0.0,0.0,0.0
18,demander,0.5606127455718558,0.5636228217992904,0.6897363415893938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586
18,chercher,0.6171730317967058,0.5148396883156859,0.4781598900701125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586
18,fusil,0.2555825286720349,0.9030436949881224,0.7228348844692725,0.4501776944887621,0.0,0.5545275743722952,0.0,0.0,0.0,0.0,0.0
18,tire,0.6203733956677064,0.5114340744748914,0.3494256239716954,0.0,0.0,0.0,0.422,0.0,0.0,0.0,0.0
18,chargé,0.266,0.662,0.596,0.0,0.0,0.594,0.0,0.7219999999999999,0.0,0.0,0.0
18,cervelle,0.7543062608133073,0.3721223486062517,0.6101052771545744,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0
19,jouer,0.6460709338525759,0.6919089359073894,0.5152858817897907,0.0,0.0,0.0,0.0,0.0,0.406,0.0,0.57
19,belle,0.7289983277978773,0.453316804682258,0.5549619459797869,0.0,0.0,0.0,0.469,0.0,0.0,0.4360044662715527,0.414
19,dame,0.6741537947485023,0.4713769574170061,0.5231645897606956,0.03,0.219,0.0,0.0,0.0,0.0,0.344,0.0
19,mettre,0.5679669229177663,0.3622952822170907,0.5242673673171291,0.0,0.0,0.0,0.0,0.0,0.0,0.641,0.0
19,chasser,0.1840712989702096,0.6804088297464406,0.4500240871268493,0.656,0.391,0.4277639133901779,0.0,0.4613379021020013,0.0,0.0,0.0
19,homme,0.7331645048290171,0.4089752463158824,0.6390593990361644,0.0,0.43,0.34,0.0,0.0,0.0,0.0,0.0
19,organisation,0.5752725063687925,0.3988607866370153,0.6374801465317874,0.0,0.0,0.0,0.156,0.0,0.125,0.516,0.203
19,filles,0.6041521774765466,0.5288841068598588,0.404498219694434,0.353,0.617,0.0,0.0,0.0,0.0,0.0,0.0
19,hommes,0.6823910126043574,0.4558851289245935,0.6389380917951913,0.0,0.0,0.0,0.4379999999999999,0.0,0.0,0.0,0.0
19,père,0.8024733948546023,0.3443872702128585,0.7925175470585678,0.0,0.0,0.0,0.0,0.0,0.0,0.586,0.0
21,temps,0.5738557721483191,0.3055880632693434,0.5865105805932753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516
