variante,forme
empfehle,empfehlen
Empfehle,empfehlen
empfohle,empfehlen
root,root
roote,root
rooti,root
erleese,erleese
Landschafte,Landschafte
Landen,Landen
Land,Landen
Lande,Landen
Länder,Landen
Feldzug,Feldzug
Faldzug,Feldzug
rar,rar
knapp,knapp
selte,selte
Selte,selte
selten,selte
Narwa,Narwa
Sindebock,Sindebock
skandalôs,skandalôs
skandalös,skandalôs
Skandalös,skandalôs
Schanda,Schanda
Shand,Schanda
Skandale,Skandale
Skandal,Skandale
Alterdum,Alterdum
Empfinde,Empfinde
empfinden,Empfinde
empfinde,Empfinde
G’füehl,G’füehl
G'fuehl,G’füehl
Gfiehl,G’füehl
Gfuehl,G’füehl
G’fühl,G’füehl
Gefühl,G’füehl
Gfühl,G’füehl
Gefüehl,G’füehl
Gefühlen,G’füehl
G’fuehler,G’füehl
Gefühle,G’füehl
G'füehl,G’füehl
Gfuehler,G’füehl
Gfüehl,G’füehl
Schiücker,Schiücker
Schücker,Schiücker
triwe,triwe
driwa,triwe
drücen,drücen
drecke,drücen
drucke,drücen
drücken,drücen
drücke,drücen
Drucker,drücen
Drucke,drücen
druck,drücen
wachsen,wachsen
wachse,wachsen
stoße,stoße
stosse,stoße
stossen,stoße
stossť,stoße
inkaufe,inkaufe
Einkäufe,inkaufe
inkaafe,inkaufe
Inkäuf,inkaufe
schieben,schieben
Schiewe,schieben
Schiewer,schieben
kränkli,kränkli
Sifzer,Sifzer
Seufzer,Sifzer
Siffzer,Sifzer
pfif,pfif
pfiffe,pfif
pfiff,pfif
seng,sing’
hool',hool'
hol,hool'
hool,hool'
Wasserkopf,Wasserkopf
bleeder,bleeder
bleed,bleeder
Tschöjdi,Tschöjdi
Simbel,Simbel
Simpel,Simbel
Idiot,Idiot
dumma,dumma
Dumme,dumma
Dümme,dumma
dümmer,dumma
düemmer,dumma
dummi,dumma
dumme,dumma
dumm,dumma
dummer,dumma
Dummer,dumma
dummen,dumma
Doddel,Doddel
häise,häise
häiße,häise
heissen,häise
heissa,häise
häisse,häise
Heissa,häise
haiße,häise
haisse,häise
heisse,häise
heiße,häise
heißa,häise
bedidde,bedidde
bedeuten,bedidde
beditt,bedidde
bedite,bedidde
bedit,bedidde
bedient,bedidde
bedytt,bedidde
beditte,bedidde
Warf,Warf
Warfe,Warf
Paus,Paus
bschisse,bschisse
b’schisse,bschisse
breche,brache
brech',brache
brech,brache
brechen,brache
Duele,Duele
Kanal,Kanal
unterwerfe,unterwerfe
unterworfe,unterwerfe
Schwer,Schwer
Schweri,Schwer
schwäri,Schwer
schwere,Schwer
schwarer,Schwer
schwær,Schwer
schwer,Schwer
schwerer,Schwer
schwari,Schwer
schwär,Schwer
schweren,Schwer
schwer‘,Schwer
schware,Schwer
schweri,Schwer
schwar,Schwer
folgende,folgende
folgender,folgende
folgend,folgende
folgenden,folgende
folgendi,folgende
folgen,folgen
Folg,folgen
Folgen,folgen
Folge,folgen
folge,folgen
folga,folgen
Portnere,Portnere
Portner,Portnere
Wächder,Wächder
Wach,Wächder
wacht,Wächder
Wache,Wächder
Wächter,Wächder
Wacht,Wächder
Wachter,Wächder
Wacha,Wächder
Gsetzle,Gsetzle
Gsetzel,Gsetzle
Sätz,Gsetzle
Satz,Gsetzle
grossartige,grossartige
Grossartig,grossartige
großartigi,grossartige
großarti,grossartige
Großartig,grossartige
großartig,grossartige
grußartig,grossartige
Grossartigi,grossartige
grossartig,grossartige
grossartigi,grossartige
grossarti,grossartige
Empfindung,Empfindung
Empfindungen,Empfindung
Gfängniswärter,Gfängniswärter
schamloser,schamloser
zerschlage,zerschlage
abgebroche,abgebroche
beenden,beenden
gebroche,gebroche
gebroch,gebroche
gebrochen,gebroche
scharf,scharf
schärfer,scharf
scharfi,scharf
scharfen,scharf
Scharf,scharf
scharfe,scharf
schliffer,schliffer
dheile,dheile
teil,dheile
Deile,dheile
theile,dheile
theil,dheile
teile,dheile
Teile,dheile
frächer,frächer
frache,frächer
frach,frächer
fräch,frächer
fracher,frächer
stillstehen,stillstehen
Ganzi,Ganzi
Ganz,Ganzi
Ganze,Ganzi
ganza,Ganzi
bynander,bynander
binand,bynander
bienander,bynander
