id	als	fr	de	en	valence	arousal	dominance	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	NRC_cosine	FEEL_cosine	avg_cosine	nb_checks
28	verzerrt	biaisé	verzerrt	skewed	0.34	0.48	0.361	0.368	0.281							1.0		1.0	0
29	Verleumdunga	calomnie	Verleumdung	libel;slander	0.156629964984456	0.6479875562749813	0.4290737181108439	0.4828223987050334		0.609	0.348				0.219	0.8938626464570216		0.8938626464570216	0
30	Sirene	sirène	Sirene;Meerjungfrau	mermaid;siren	0.6417412360558654	0.6255283849014183	0.4823406188170178				0.547					0.9372309287984564	0.8091085870109194	0.8731697579046879	0
31	sindiger;sündigen	pécher	sündigen;sündig	sinning	0.17	0.7	0.422			0.562						1.0		1.0	0
32	inzelon;einzelnen;einzeln;einzelne;Einzelne	unique	einzigartig;einzeln	singly;severally;unique	0.6835866000566424	0.3326342320062663	0.5699680325685011					0.375		0.3680916754205187		0.9143376061656316	0.4263572682253863	0.6703474371955089	0
33	einzige;einzig;einzigen;einzich;Einzig;einzigi;einzi	unique;seul	einzigartig	unique	0.7288429263733409	0.3389434022077929	0.6051251283094582					0.375		0.3680949519332998		0.9988379971588752	0.2141773868581784	0.6065076920085268	0
34	Schlachthaus	abattoir	Schlachthof	slaughterhouse	0.146	0.794	0.472	0.788		0.867	0.859		0.703			1.0	0.8725768145403119	0.936288407270156	0
35	Schlaahüß;Schlaghaus	abattoir	Schlachthof	slaughterhouse	0.146	0.794	0.4719999999999999	0.788		0.867	0.859		0.703			1.0	0.9055045084449028	0.9527522542224514	0
36	Schnäck;Schnake;Schnecke;Schneck	limace;escargot	Schnecke	snail;slug	0.3762262560544498	0.2393128229878253	0.2268175040362998			0.594						0.7928840013943003	0.5601444748110325	0.6765142381026663	0
37	Unterhosse;Unterhose	culotte;caleçon;slip	Unterhose	underpants;panty;slip;breeches;panties	0.4126200555180419	0.5685504267229078	0.3061027335455472							0.461		0.8764030171924257	0.8875275173620311	0.8819652672772285	0
38	schlimmeri	muqueux;visqueux	schleimig;Schleim	mucous;slimy	0.2492251403211742	0.4036998129051011	0.3014470441494197			0.7289632857363698						0.9900403754332768	0.7641544230013109	0.8770973992172938	0
39	Schlitte	tire;traîneau	Schlitten;Rodeln	sledge;taffy;sleigh;sledding	0.6203733956677064	0.5114340744748914	0.3494256239716954					0.422				0.9233800091009988	0.9728817506925376	0.9481308798967684	0
40	hinmache	tuer	erschlagen	slay	0.133	0.92	0.585	0.719								1.0	0.4412768626060277	0.7206384313030139	0
41	Schlacht;Schlachte;Schlachter	tuer;abattre	schlachten;Schlacht;erschlagen	slay	0.133	0.92	0.585	0.719								1.0	0.3855612393829936	0.6927806196914967	0
42	umbrenge;Umbringe;umbringe	tuer	erschlagen	slay	0.133	0.92	0.585	0.719								1.0	0.4024511028956821	0.701225551447841	0
43	einzigartigi	unique;singulièrement;uniquement	einzigartig	singularly;unique	0.6994068169469672	0.3380579584232493	0.5932208868635654					0.3749999999999999		0.3202741941168664		0.9650117998105116	0.6549392393163354	0.8099755195634235	0
44	Saldote;soldat;Soldate;Saldat;Soldaten;Soldata;Saldate;Soldat	soldat	Soldat	soldier	0.392	0.708	0.768	0.258					0.273			1.0	0.8597754595951493	0.9298877297975748	0
45	Zammehalte	solidarité;cohésion	Solidarität	solidarity	0.792	0.407	0.781								0.648	1.0	1.0	1.0	0
46	Spritze;Spritz;Schpritze;spritze;Schpritz;Spritzer	éclaboussure;arroser	Spritzer;Spritzen;Spritze;spritzig;spritzen	squirt;nippy;spatter;splash;splatter	0.4272819971730712	0.509736473994653	0.3215372468445648							0.609		0.8062026793181711	0.4021537905909437	0.6041782349545575	0
47	spitze;spitz	cracher	spucken	spit	0.149	0.545	0.436			0.57						1.0	0.6907389310046063	0.8453694655023032	0
48	spücke;spucken	cracher	spucken	spit	0.149	0.545	0.436			0.57						1.0	0.6907389310046063	0.8453694655023032	0
49	vrdarwe;verdärwe;Verdarwa;verderben;verdirb;verdarwa;Verderb	pourrir;gâter;gâcher;pervertir;abîmer;corrompre	verdorben;Verderben;verderben;verwöhnen	spoiling;spoil	0.139382748872565	0.6959294272059481	0.3147654977451302			0.617						0.8913590262578388	0.3713388394655037	0.6313489328616713	0
50	Vrstand;verschtande;Verstande;verschtändig;verstand;Verstand;Verstanden	esprit;cervelle;entendement	Geist;Verstand	spirit	0.7543062608133073	0.3721223486062517	0.6101052771545744					0.515				0.9998331521909865	0.8193245864442714	0.9095788693176288	0
51	altjumpfer	vieille fille	Jungfer	spinster	0.357	0.368	0.345				0.25		0.4000000000000001			1.0		1.0	0
52	Jungfre;Jungfere;Jungfrau;Jungfraue;Jungfrauie;Jungfer	vieille fille	Jungfer;Jungfrau	spinster	0.357	0.368	0.345				0.25		0.4			1.0		1.0	0
53	Spinn;Spinne	araignée;araignées	Spinnen;Spinne	spiders	0.26	0.696	0.368				0.6249999999999999					1.0	0.6382103272104829	0.8191051636052413	0
54	Spinn;Spinne	araignée;araign? e	Spinne	spider	0.229	0.569	0.43			0.461	0.656					1.0	0.9231155857293007	0.9615577928646504	0
55	Geist;Gaischt;Geischter;Geister;Geiste;geist;geistig;Geischt;Gäischt	revenant;esprit;fantôme	Geist;geistig;Verstand	spirit;reverting	0.7001360097906396	0.3757498207729483	0.5914842533655323					0.515				0.9410872632318276	0.3058585419650618	0.6234729025984448	0
56	brache	vomir	speien;erbrechen	spew;vomit	0.2171275245683341	0.58946145618173	0.3933546078797906			0.7283214447365556						0.974642532803086	0.9063389422700356	0.9404907375365608	0
57	anmache	gâcher	verwöhnen	spoil	0.1442683464738602	0.7159159628476103	0.3245366929477206			0.617						0.999988170723198	0.3926862624598733	0.6963372165915358	0
58	Üsdür	résistance;endurance;persévérance;ténacité	Ausdauer	stamina;perseverance;resilience;tenacity	0.7111626475488123	0.6151344086351743	0.8134249936195571								0.539	0.9356364462969956	0.925886149480026	0.9307612978885108	0
59	Stengel;Stang	barre;tige	Stange;Stengel	helm;stalk	0.4599541288074607	0.3499588402918981	0.4618528969890613				0.531					0.9029495096103296	0.9798870838560664	0.941418296733198	0
60	Stiel;Steel	queue;tige;poignée;manche	Stengel	grip;tail;sleeve;queue;dick;panhandle;stalk	0.4470588706521295	0.3821717397813807	0.4138690384193749				0.531					0.815456462522676	0.6078300184531139	0.711643240487895	0
61	Winde	se tortiller	winden	squirm	0.2706203384434039	0.8089336943838824	0.3874676444658083			0.492						0.9992390978451986	0.9099901318433602	0.9546146148442792	0
