,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
116,116,0.489,0.534,0.534,0.098,0.154,0.171,0.000,0.269,0.000,0.121,0.000,0.255,0.459,0.175,0.562,0.000,0.734,0.000,0.000,0.000,0.000,0.000
117,117,0.811,0.581,0.587,0.015,0.000,0.021,0.619,0.003,0.117,0.195,0.349,0.781,0.413,0.656,0.007,0.000,0.010,0.375,0.000,0.065,0.224,0.232
118,118,0.532,0.569,0.574,0.000,0.142,0.117,0.169,0.113,0.000,0.159,0.000,0.648,0.464,0.587,0.000,0.000,0.000,0.186,0.000,0.108,0.473,0.248
119,119,0.679,0.540,0.558,0.000,0.121,0.000,0.456,0.062,0.062,0.292,0.439,0.691,0.495,0.578,0.228,0.000,0.000,0.529,0.000,0.078,0.262,0.178
120,120,0.429,0.756,0.806,0.000,0.398,0.453,0.000,0.000,0.000,0.000,0.000,0.188,0.558,0.259,0.441,0.445,0.000,0.000,0.625,0.000,0.000,0.000
121,121,0.739,0.495,0.597,0.000,0.000,0.000,0.417,0.000,0.065,0.289,0.378,0.969,0.444,0.604,0.000,0.000,0.000,0.688,0.000,0.110,0.688,0.192
122,122,0.423,0.389,0.386,0.197,0.139,0.272,0.113,0.260,0.041,0.097,0.180,0.398,0.493,0.360,0.194,0.117,0.120,0.182,0.281,0.073,0.206,0.128
123,123,0.759,0.428,0.641,0.033,0.000,0.033,0.325,0.000,0.000,0.459,0.250,0.690,0.320,0.540,0.172,0.164,0.000,0.172,0.000,0.000,0.393,0.109
124,124,0.303,0.472,0.363,0.286,0.166,0.281,0.000,0.281,0.164,0.102,0.351,0.781,0.498,0.604,0.000,0.000,0.000,0.410,0.000,0.000,0.412,0.248
125,126,0.090,0.662,0.247,0.000,0.000,0.484,0.000,0.453,0.000,0.000,0.000,0.552,0.573,0.633,0.178,0.114,0.179,0.000,0.000,0.000,0.324,0.000
126,127,0.366,0.457,0.321,0.000,0.000,0.000,0.000,0.375,0.000,0.129,0.317,0.439,0.565,0.476,0.176,0.157,0.210,0.127,0.247,0.183,0.180,0.060
127,128,0.587,0.449,0.566,0.000,0.000,0.133,0.274,0.000,0.000,0.136,0.000,0.362,0.465,0.251,0.000,0.090,0.000,0.000,0.315,0.000,0.000,0.000
128,129,0.740,0.484,0.699,0.000,0.000,0.000,0.427,0.000,0.174,0.433,0.260,0.679,0.372,0.496,0.000,0.000,0.000,0.137,0.117,0.055,0.457,0.096
