,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
71,73,0.579,0.408,0.627,0.076,0.188,0.141,0.000,0.000,0.000,0.000,0.000,0.578,0.409,0.482,0.000,0.000,0.000,0.182,0.000,0.221,0.206,0.292
72,74,0.716,0.354,0.710,0.000,0.000,0.000,0.109,0.000,0.000,0.635,0.000,0.802,0.344,0.793,0.000,0.000,0.000,0.000,0.000,0.000,0.586,0.000
73,75,0.571,0.518,0.584,0.013,0.031,0.120,0.055,0.063,0.000,0.224,0.167,0.472,0.479,0.455,0.000,0.000,0.070,0.000,0.000,0.223,0.000,0.250
74,76,0.670,0.433,0.681,0.013,0.031,0.073,0.264,0.018,0.056,0.286,0.134,0.593,0.478,0.598,0.000,0.000,0.000,0.226,0.000,0.000,0.388,0.138
75,77,0.429,0.360,0.376,0.000,0.000,0.078,0.172,0.000,0.000,0.219,0.206,0.451,0.550,0.485,0.227,0.328,0.187,0.000,0.161,0.000,0.000,0.146
76,78,0.497,0.690,0.429,0.000,0.000,0.112,0.364,0.000,0.000,0.000,0.293,0.568,0.509,0.478,0.000,0.000,0.112,0.274,0.000,0.110,0.309,0.484
77,79,0.795,0.333,0.585,0.000,0.000,0.000,0.469,0.000,0.000,0.000,0.000,0.488,0.522,0.522,0.257,0.148,0.154,0.187,0.092,0.121,0.000,0.000
78,80,0.548,0.433,0.509,0.056,0.000,0.181,0.264,0.210,0.000,0.130,0.127,0.753,0.481,0.608,0.000,0.086,0.068,0.392,0.000,0.108,0.392,0.258
79,81,0.531,0.568,0.614,0.224,0.000,0.078,0.234,0.000,0.200,0.000,0.206,0.581,0.554,0.518,0.109,0.136,0.187,0.169,0.161,0.000,0.178,0.133
80,82,0.540,0.555,0.567,0.128,0.183,0.288,0.188,0.163,0.178,0.146,0.139,0.603,0.568,0.582,0.219,0.273,0.373,0.234,0.322,0.000,0.218,0.207
81,83,0.535,0.377,0.521,0.106,0.031,0.174,0.093,0.101,0.000,0.000,0.208,0.645,0.467,0.633,0.056,0.000,0.044,0.124,0.016,0.085,0.167,0.122
82,84,0.776,0.461,0.586,0.010,0.073,0.000,0.164,0.000,0.000,0.357,0.000,0.935,0.427,0.551,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000
83,85,0.628,0.533,0.573,0.000,0.095,0.000,0.313,0.001,0.030,0.318,0.178,0.591,0.412,0.593,0.000,0.000,0.000,0.000,0.000,0.000,0.308,0.258
84,86,0.584,0.387,0.476,0.309,0.100,0.191,0.208,0.097,0.044,0.124,0.077,0.651,0.468,0.584,0.196,0.074,0.100,0.234,0.106,0.000,0.112,0.000
