shortName,drama_type,polarity,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
clemens-a-latzi-visit,comedy,-51,8.674502390088175,6.624458311892127,8.347301053275757,0.055075488313542684,0.05561902239172222,0.05997062637383612,0.28190337048913755,0.041257809471942554,0.03985630359943798,0.31264795871522627,0.1536694206451546
clemens-charlot,comedy,-26,4.8747618430700275,5.042739675851845,4.890419981390669,0.08024187474095754,0.07975874473961833,0.14130443586836308,0.1571814001132627,0.12282016529250542,0.05669136762261685,0.20262290986506176,0.15937910175761427
clemens-chrischtowe,tale,-15,7.741814876942447,4.374406791807664,5.967380812767019,0.03919053016301232,0.025717191847573744,0.01508783811010828,0.26033015348971006,0.01898999945076226,0.04864044260390967,0.4037104723642427,0.18833337197068095
clemens-d-brueder,comedy,-75,7.553148902071975,6.515580085716572,7.267490901909982,0.12320680711993394,0.08328810289447304,0.08417273686726703,0.23182405812122944,0.061429206675303286,0.07236121270451709,0.18512737767295612,0.15859049794432017
clemens-dr-amerikaner,comedy,-84,9.160074029661578,7.618325072865675,8.721268210126654,0.1604143329662037,0.04323083027104744,0.0815952551550785,0.17528638865686844,0.07491334294429154,0.10190878612610199,0.26122023654879356,0.10143082733161486
clemens-gift,comedy,-15,6.377263887243741,7.02873121287903,7.111235818764134,0.12292091624540276,0.13856958150793014,0.17747037747744043,0.14166697467004158,0.18240266864432064,0.06169023878699513,0.09806330206324937,0.07721594060461984
d-gsellschaftere,comedy,-62,4.361190016459727,3.7662480466032995,4.272475150126295,0.0681549602415659,0.25159142314418287,0.1365723008730769,0.12730305723137703,0.09442531337618953,0.03150558589037436,0.19468274012818415,0.09576461911504913
d-huslit-vo-dr-frau-suppedunke,comedy,-27,5.172237097765851,3.7006523934560467,5.106327092489139,0.080126796968501,0.16648209045783616,0.15554052436362784,0.24494711341992736,0.020647045618571714,0.043142629967433385,0.2197373387404652,0.06937646046363746
d-milhuser-in-paris,comedy,-62,7.4281679450037394,5.763425976968741,7.38870271284774,0.08536752588113468,0.12796458834090058,0.14513347623958595,0.22311831540018415,0.04993733042552619,0.053847297101667635,0.1902852109740594,0.12434625563694143
d-singstund,comedy,-37,8.102020426620683,6.157291012338024,8.25248636888693,0.10088151628539488,0.12601155676555004,0.1418945589548152,0.21378159326539697,0.010090606020010596,0.048888395662153646,0.20209997349051703,0.15635179955616166
d-tante-domino,comedy,-17,4.79023585452339,4.164596750807137,5.104177134380646,0.12088361487159134,0.06021555410351089,0.20384518757716139,0.19350464027202002,0.12258364245586027,0.031116044230533123,0.1796845659941169,0.08816675049520609
dr-astronom,comedy,-1,3.085209178240009,2.2874420574214294,3.0520274487810375,0.08901755553908822,0.1724917358103346,0.1739786363369384,0.18412819065123512,0.02396041039616256,0.1382845304166321,0.14560925627972898,0.07252968456988003
dr-chineserfranz,comedy,-41,6.374073835403065,4.48645962629911,6.178707700610722,0.08648236768355497,0.14655229786147403,0.13720032396218418,0.31024915316244317,0.037135805321096664,0.023713212789487282,0.17247077406528025,0.08619606515447949
dr-fechtmeister,comedy,-25,3.3953558227797282,2.740957427514488,3.160759210648613,0.08990024134270765,0.049929288401426665,0.1409062768147678,0.04326505619060608,0.0035970883442269876,0.030403520316813572,0.21528480250627788,0.42671372608317326
dr-hochzitstag,comedy,-53,6.239805495179803,5.319563166350494,6.273108961154144,0.09181199898622763,0.11716994172764608,0.14394192784507143,0.26595075650890265,0.06459967790578497,0.030287877219111924,0.16732304233920298,0.11891477746805233
drei-schwarze-liebschafte,comedy,-26,5.933223453481144,3.9938732148213227,5.170652946808132,0.03959496843938262,0.07760324166823092,0.08459677015578422,0.2262744283560486,0.027263308801566785,0.040389586639143965,0.25184599227489435,0.2524317036649485
drizehne,comedy,1,0.0761839682585797,0.0761839682585797,0.0761839682585797,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
fuchs-heimlichi-lieb,drama,-38,11.338403858591633,9.704179611356915,11.164407963338459,0.11159316713474741,0.05954342798954933,0.09278614021957529,0.17426975007308595,0.0592578097164267,0.09963037294383388,0.23475119351661713,0.1681681384061643
greber-d-jumpfer-prinzesse,drama,-93,11.099965260720541,8.697611987949465,10.436856182613836,0.06251202305180369,0.05213068106276364,0.08695916876493047,0.21644576897339712,0.09390287537924558,0.025346498728426585,0.279152491264902,0.18355049277453095
greber-lucie,drama,-46,7.491841666517526,6.217413064742356,7.442450225762981,0.09263810939179111,0.09057662835167805,0.08333949844652644,0.20311684618141887,0.10526965228850965,0.02700744555533167,0.245329345352459,0.1527224744322852
greber-s-teschtament,comedy,-147,8.051593773447575,6.211354374105612,7.658863416492277,0.06340006955845559,0.04921465767504328,0.06847657085333952,0.24881518473276507,0.053504745201107755,0.07652007202832971,0.2569970248874197,0.18307167506353922
greber-sainte-cecile,comedy,-58,7.84413163560039,6.4384284663425975,7.568798784256443,0.11601945096055333,0.09397991654653393,0.0813488449862982,0.27027018644988743,0.07162471921702702,0.05494971188550525,0.16764672890103832,0.1441604410531566
gunther-dr-cousin-refractaire,comedy,-58,7.249983514251236,6.224082826591298,7.103657967018455,0.1128372995636634,0.08406380109693036,0.11626737684667797,0.2339821161519021,0.10422623885811895,0.03993266767716715,0.19511050426286086,0.11357999554267915
hahn-jungi-madamme,comedy,-36,5.568218854753117,4.36831825797657,5.234532455504709,0.09978629626694377,0.06450569456916565,0.04854933211216037,0.24262079311580445,0.043700161457400556,0.0339564834138008,0.29769319269245553,0.16918804637226906
hans-dich-hats,comedy,-25,6.668452995373195,4.963995882592641,6.760426707731543,0.058638194317410824,0.07679428711088167,0.07404311855812494,0.27865944090512973,0.029706484328672914,0.03322985896273721,0.27104888044238,0.17787973537466278
hart-dr-poetisch-oscar,comedy,-45,6.002420156402264,3.707872510633629,5.17696529552303,0.01878699627353304,0.026144442655470862,0.026169335653537008,0.21342654688428353,0.028329446486134502,0.06736342952436986,0.37159662526874576,0.2481831772539254
horsch-d-madam-fahrt-velo,comedy,-9,7.8848339625807,7.185024022691897,7.981216752651813,0.11822560918728327,0.08288497805456213,0.056054247871542194,0.24199633939623472,0.07614541025270727,0.02563788168904614,0.2615766446771206,0.1374788888715036
horsch-neui-hosse,comedy,-26,5.280595225519101,4.20219911393791,5.055819198394514,0.12495212373343828,0.11839104346091002,0.07015345509153541,0.2471251381374002,0.07020890175451795,0.08369550092014282,0.21412083034494872,0.07135300655710658
huck-a-gelungener-patient,comedy,-22,1.3811067860738595,1.2336060450789215,1.4412175001203733,0.17962052445116836,0.13112076702107991,0.43992794294971954,0.013326070605586026,0.2152662469838542,0.01602894595376601,0.0020641706905836416,0.002645331344242457
im-gretele-sine-kunstler,comedy,-18,7.216066983319438,5.717610726276482,7.279349347449467,0.1590046496106331,0.15798609161452964,0.1261021302069239,0.24472676324823575,0.039054389011438824,0.020826679164117762,0.1551895264079066,0.09710977073621452
im-julie-si-gheimniss,comedy,-72,6.9641370425634115,5.500774381609381,7.223109793308695,0.11164695616271958,0.15608684669177483,0.15008042875546174,0.23287506458524243,0.06642281069300209,0.010492417143151196,0.21052574450368491,0.06186973146496318
in-dr-falle,comedy,-34,5.611311746415839,4.317780478671695,5.466071325767593,0.09018734178667945,0.14506880783901355,0.15626651034546002,0.2216657440740455,0.05159516447703194,0.03620887873356455,0.15965025440918423,0.13935729833502083
jost-d-satisfaction,comedy,-24,7.603969635357189,7.242196178274198,7.934774886604615,0.12316234314158024,0.07873532099496981,0.1523587091588267,0.22547034577835287,0.06745179423339108,0.06791003309321089,0.16251871029444742,0.122392743305221
