drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Jacques, löij, mir sin jetz schun e paar Jährle do bienand in dem Platz. Mir han's — ei- jetli ich hab's so noochetnooch d'rzü gebroocht, daß mir per ""Dü"" mitnander stehn, aw'r sunscht isch's im Allgemeine grad noch's nämli wie am erschte Daa, wie m'r uns kenne han lehre. — 's kummt m'r grad vor, wie wenn m'r vor ere himmelhoche Müür stehn däete. — Do steht d'M üür — do stehn mir — un kaan Macht stellt sich in wie die Müür umrennt — un do stehn mir Zwei ewwe no, hilflos wie zwei klaani Kinder, un kumme nit wyttersch, — un kumme nit wyttersch — — —",58,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Ei no bliewe m'r halt e Gottsname vor dere Müür stehn. — Weisch, ich-bin kaan Friend vum klettere, bsunders wenn's hoch owenüs soll gehn. — Oho!",59,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Aw'r Jacques, ich hab jo numme e V'rglich gstellt.",60,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Gott sej Dank! — Ich schwitz nämli dene Wäj schun! — Aw'r höer, ich hab doch gemaant, Dü wottsch mich ebs fröije?",61,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Ja, — ei nadierli hawich Dich ebs fröije welle.",62,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Na, ze fröij doch emol, ich bin gspannt wie e Bareplee biem Räejewetter.",63,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Jacques — Dü — Dü gehsch od'r Dü wottsch iew'r kurz od'r lang üssem Dienscht?,64,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Isch dies au wied'r e V'rglich?,65,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Ich bin am fröije.,66,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Ah jaso. — Na, ze fröij wyttersch.",67,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Dü machsch dies Johr nimmi ganz üß in dem Platz do?,68,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Wer saat zell?,69,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Ich!,70,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Hesch D'r d'Kart schlaawe loon?,71,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Jacques, ich bin am fröije.",72,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Ah ja, zem Dunterlättel — — —",73,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Un wenn Dü no do furt gehsch —,74,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Wart e Moment, ich will mich zerscht setze —|||So, jetz wytterscht",75,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Ja, un wenn Dü no do üB dem Platz gehsch, no bisch-zem letschtemol in Dim Läwe Do- mestique gsin ?",76,riff-s-paradies
