shortName,drama_type,anger,anticipation,arousal,disgust,dominance,fear,joy,sadness,surprise,trust,valence
bi-de-wilde,comedy,0.10961291490132216,0.16700629826782976,0.5053493195465731,0.10544274038138501,0.5339239155863448,0.16426517583249248,0.14883885947120543,0.12070205074636436,0.11557919642243676,0.12013851988494498,0.5466471336453612
clemens-a-latzi-visit,comedy,0.0789243856973767,0.12482809306942315,0.5150558651919923,0.070299038583859,0.5571481693682464,0.09615147860149895,0.2067001451894434,0.07777302691603981,0.08373436004882359,0.19198504432578964,0.5838350389033345
clemens-charlot,comedy,0.09612340363353332,0.12373960734156278,0.5025106495505365,0.07269345322138956,0.5259831989307183,0.10804686422205984,0.19274969732990188,0.08550699550107393,0.06573286992681025,0.1827421791109796,0.5480514554841338
clemens-chrischtowe,tale,0.039900686457738345,0.14511989228100985,0.43354227036815135,0.030177291554463543,0.5581599280309008,0.06263178103611321,0.23830713362643136,0.061262746240252935,0.044334363881914585,0.2909688161812114,0.6708432279606354
clemens-d-brueder,comedy,0.09240092371803567,0.14144574450604505,0.5043518073615713,0.057261535951670516,0.5651758347458952,0.07771596438962314,0.24948767383161263,0.07020775458833647,0.059730777018041754,0.20281579813170583,0.6145035576303635
clemens-dr-amerikaner,comedy,0.11198504336412839,0.10333115222822174,0.5081586678020943,0.05676099712078152,0.5257765140844087,0.08927491028153699,0.20139879823196466,0.08083786060608056,0.06748345778469166,0.17074534199677013,0.573290230108994
clemens-gift,comedy,0.09161961225827249,0.115520388526655,0.51262465643134,0.07601870662885965,0.547434864787183,0.12443583961031995,0.211606281296016,0.1114815178972348,0.05466148422701005,0.2157207346620575,0.5713103875004352
d-gsellschaftere,comedy,0.09106946472320311,0.08995622915836353,0.4558012116351372,0.11767233763220873,0.5210905166753675,0.10441426167036554,0.1202119122584392,0.03708870975584269,0.03190808137395213,0.217749476189302,0.5581256815535174
d-huslit-vo-dr-frau-suppedunke,comedy,0.10701187412840926,0.08928794267525997,0.4696486968019119,0.10627831988491335,0.575151381362247,0.13776680129662078,0.12518107180462926,0.0438098283930213,0.04190784777343983,0.15497726711819923,0.5754630424992003
d-milhuser-in-paris,comedy,0.09464776764458653,0.0757439837551201,0.4602249968333335,0.10587822555420012,0.5897752606627699,0.12652750413574423,0.10957068554297503,0.03455505580388921,0.03638891361520189,0.13086274679205465,0.5855077407203444
d-singstund,comedy,0.12593738848026553,0.0920841700300857,0.49197524884947885,0.08775967460420835,0.5942187888129432,0.15317666955508433,0.1360824904345003,0.02274952126282619,0.029927361675192648,0.15233571807475216,0.5791332734163971
d-tante-domino,comedy,0.12936457940802287,0.10197800737470504,0.5121455605581711,0.08302312784504522,0.581830456984242,0.1507758113341535,0.11672693943755805,0.07734013828803774,0.03597373454571022,0.1507301157282381,0.5650378377594583
dr-astronom,comedy,0.07023954171953913,0.0703734724919389,0.468850975774056,0.0644381866295981,0.5552073701143377,0.0942151380179231,0.13976186802750043,0.02781731752021032,0.06187224761244941,0.22653565108819992,0.6142282333508646
dr-chineserfranz,comedy,0.11039587268924868,0.10903094854329741,0.4840138474467489,0.08653678067508476,0.5821198506479428,0.14267223923673178,0.15650373483554753,0.04018427725544605,0.05193402062568676,0.1464875410125366,0.5827310177211938
dr-fechtmeister,comedy,0.12152878475346099,0.2097871200516137,0.4994033429902064,0.025736761288671167,0.5626348738554564,0.16458828942977044,0.18693607675105772,0.03553712392735482,0.055172160243731797,0.21079114279800326,0.5988962860014422
dr-hochzitstag,comedy,0.13709391185450506,0.09971268593904423,0.47983065012107756,0.10841745534860209,0.560115378349372,0.14233083582397463,0.16003811003145055,0.08154478224872014,0.03423699176509504,0.1337628333971311,0.5486100687976491
drei-schwarze-liebschafte,comedy,0.09671465317495931,0.16255315473496723,0.4705801699787062,0.06011554898046337,0.5632607281525283,0.1060476633741948,0.22537041057016086,0.0401391692922057,0.057651772260984904,0.21776445507456504,0.6080208117587056
drizehne,comedy,0.0818807429558082,0.1815710439023982,0.4836857936486343,0.0389268416922026,0.5726227543766574,0.0875702873297404,0.2671340281500527,0.0607884478889764,0.0714559559543152,0.2096149128678564,0.6465679104817796
fuchs-heimlichi-lieb,drama,0.08509929769672066,0.18166897723693837,0.4937099721790797,0.05881505493803985,0.5335235185075844,0.09237568382605403,0.18498638749717403,0.07821590846121054,0.08445885613059234,0.19544732752073618,0.571133801569129
greber-d-jumpfer-prinzesse,drama,0.06408716815808442,0.17534618839781,0.48508589365144167,0.05453819111112592,0.5561800043877261,0.07612477125821679,0.2214553624826785,0.07915132373524389,0.045016491615622656,0.24084001155191517,0.6076745715951923
greber-lucie,drama,0.05707568822596492,0.1334639563551725,0.4828461979246076,0.05806570356708909,0.570696481297792,0.07840871527262175,0.2075467332189793,0.08053307727531732,0.03982330224268879,0.21608359352505008,0.608535414200002
greber-s-teschtament,comedy,0.06878123621773084,0.15111366181523855,0.49558037122314047,0.05709614136412278,0.5630217476010575,0.07721981280408369,0.2362195591605436,0.07460656999849223,0.05458755803503265,0.21060985077967645,0.611798119045742
greber-sainte-cecile,comedy,0.07330838012122873,0.1471882841076087,0.5056071995442633,0.06898843549228204,0.5773697198522196,0.07970862357327187,0.24801156788150147,0.07182731630212093,0.04949021010184126,0.22750513611467657,0.6183908897065536
gunther-dr-cousin-refractaire,comedy,0.08180125426428672,0.12944782870726604,0.49761586447229983,0.0789471150665308,0.5577202436931099,0.08602876200926711,0.21295592666946203,0.07376077212614754,0.054756242068081204,0.20043642199452802,0.6013201420692332
hahn-jungi-madamme,comedy,0.06126396532162374,0.15127925997955782,0.504321429802893,0.06577733061505271,0.5544454188146497,0.053616099908024975,0.2578919743612357,0.050976167864028796,0.050973227698470756,0.23826756135381225,0.6324496413471563
hans-dich-hats,comedy,0.0908765476190173,0.19008865427076152,0.5002753516984716,0.05851582941778618,0.5989310558429247,0.1113882625406166,0.1973984155529371,0.037457821647221806,0.0476884032167661,0.21093923093809644,0.6156054844040789
hart-dr-poetisch-oscar,comedy,0.07895874464760384,0.19050143921008061,0.4864270241476868,0.07236761820422224,0.5581453357400009,0.07328623053512225,0.2782475835657321,0.06916632243754067,0.06679586318821006,0.23560765728220426,0.6347612821237965
horsch-d-madam-fahrt-velo,comedy,0.0653809041272249,0.1485739328023623,0.5125002443884644,0.06076031505160631,0.5599528723387756,0.06353987920072264,0.22398743848321762,0.07420552622512652,0.04842486401587317,0.20574540103722863,0.6002626085986709
horsch-neui-hosse,comedy,0.06512665237782612,0.13842395474078462,0.4943363773257264,0.06480889796744102,0.5425628994336027,0.08360583681404915,0.20207822942749476,0.06526264497157301,0.05989968867252488,0.22848964174268285,0.5953935358140747
huck-a-gelungener-patient,comedy,0.0798323336938734,0.050737636737917424,0.5155430766615269,0.06199926452685224,0.5699323787575044,0.08638405194302218,0.14615597350906606,0.08193188882220118,0.03226235349711811,0.2481403676861555,0.5428184224034153
im-gretele-sine-kunstler,comedy,0.12071989589097695,0.08341229327057675,0.4791563317215153,0.10002741250267755,0.5858038263186526,0.14099135419339354,0.11518862065012014,0.04159452541839738,0.043962089834518894,0.13224949944085398,0.5648262308340881
im-julie-si-gheimniss,comedy,0.1153319704449225,0.10259393125171745,0.48249968844300134,0.07691707715513729,0.5681548502533369,0.1331678022260757,0.14246244430970062,0.0453981250004114,0.039392644060654174,0.18502923722358464,0.5762401888331692
in-dr-falle,comedy,0.09237263881238209,0.110010311060743,0.47488737016272137,0.08820995311798882,0.562741473607076,0.13829442999499936,0.11214857618623678,0.03816569964180024,0.02936824396149821,0.16618444426170403,0.575585506270285
jost-d-satisfaction,comedy,0.10444105142492902,0.1509857463753715,0.5360370275533235,0.06343498235447674,0.5666915953318103,0.1494644845077457,0.2358393458908691,0.10190062835169647,0.06406498004007606,0.20277777119325277,0.5757521978204587
jost-daa-im-narrehuss,comedy,0.13810014182877317,0.11551488075277677,0.5294216816875473,0.11571499200771954,0.5615329164500287,0.14446611232365064,0.18168992569973014,0.08985418795736828,0.05522450936473329,0.19779978223299682,0.5648272177091379
jost-dr-erscht-handel,comedy,0.07016631630278168,0.1445632951831319,0.4925457797827805,0.07501494954506391,0.5666272521438809,0.08272195404552357,0.25751084827309717,0.0755217247431927,0.06124971183544056,0.21436927614531076,0.6167844703086002
jost-e-dienschtbott-wurd-gsuecht,comedy,0.07350183072016095,0.11837908833149215,0.49063065594231037,0.05678933189752047,0.5644013389197876,0.07633502329140238,0.2357150918339323,0.06468187540161141,0.0519524483477161,0.25257675841529975,0.6049043688935481
jost-so-e-liederlicher-frack,comedy,0.09351041978217614,0.13496303224637635,0.5129622732805547,0.06998844858460308,0.5591660648749178,0.11235116583817749,0.1913255660735189,0.1046557318827739,0.06330854193627601,0.2115732950679552,0.5750373744126753
kettner-uff-dr-hochzittsreis,comedy,0.09693987724246948,0.17134427477360947,0.5188684066074533,0.05826465547648718,0.5523947827415119,0.0841062019183001,0.2635186721261032,0.08104057859049973,0.07533847320687229,0.21476562350162182,0.6123300787536281
kleisecker-dr-schnider-von-gambse,comedy,0.07487625839206434,0.1373277632187425,0.5192865529448436,0.05845541265265049,0.5533243649690779,0.09942739566953489,0.21169257842107903,0.07907085335380142,0.06672877125809477,0.2109559239929547,0.5881517753375786
kuehne-bureaukrate,comedy,0.11867108311496496,0.15024066355458737,0.558648492795012,0.04963332335637325,0.5926506659634054,0.10261380385273786,0.2144077073910468,0.051262038081893585,0.05801692449144959,0.23314662796603897,0.5946987225773458
lasch-dr-babbler,comedy,0.06594406332389544,0.1606865716777311,0.46744246473937845,0.051257827729006625,0.5390365434391854,0.08055735842335325,0.18556975315948898,0.06931428771683915,0.07807774093487997,0.20148239503162785,0.5988573916750518
milhuser-bilder,comedy,0.09263954460661682,0.14387874335576656,0.4837769186648819,0.07999362589292258,0.5899593200071236,0.09719799329313275,0.1836012353675458,0.034518701538659456,0.03599629511808933,0.184944434802627,0.6062451310074316
