shortName,drama_type,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
d-tante-domino,comedy,0.33993265107928283,0.30938574295482413,0.3506816059658931,0.15216467081987026,0.0950944478917916,0.17978982548347855,0.13870465848922417,0.09477016860306882,0.044186118320046375,0.1757510707805638,0.11953903961195653
dr-astronom,comedy,0.3760115796180781,0.28510573350980023,0.3388826868721216,0.09031098054409067,0.08339259771678362,0.12717693138916,0.1921197899227522,0.033015307867274545,0.08321092536574468,0.3019558851188015,0.08881758207539295
dr-chineserfranz,comedy,0.35321681812887906,0.2938947751983154,0.3528884066728056,0.13036907573083759,0.10147209429110982,0.16765586065071866,0.18528005367096756,0.048738170589647585,0.06316696002789589,0.17442561304797485,0.12889217199084813
dr-fechtmeister,comedy,0.35903888812843293,0.30246590901534653,0.33849520285622053,0.12406143063602748,0.026045266803256657,0.16516323257820226,0.1847590548833066,0.0351241184272203,0.05317129148050973,0.20392740977530008,0.20774819541617687
dr-hochzitstag,comedy,0.34538219303846074,0.30224203322787463,0.3523757737336646,0.15249742370728295,0.1208461480017035,0.15855034967724924,0.17994560787196337,0.09150155772018606,0.03802723407260225,0.14886142167516594,0.1097702572738468
drei-schwarze-liebschafte,comedy,0.3699143995612286,0.28708211694488855,0.3430034834938828,0.1008396960083797,0.06235445448964162,0.11069976879959824,0.23334310499245245,0.04178475938719018,0.060956114435029386,0.22310853690480684,0.1669135649829017
fuchs-heimlichi-lieb,drama,0.3573270224190369,0.30890185943554416,0.333771118145419,0.08893897730712808,0.06155926436157992,0.09617994354463635,0.1924188488804818,0.08128287918019228,0.08719833642526907,0.20306610291306101,0.1893556473876516
greber-d-jumpfer-prinzesse,drama,0.36933488247855495,0.29346191484790196,0.337203202673543,0.0680401164849606,0.05768471774994383,0.08002241511510354,0.23476203679690713,0.08231505966662042,0.046704948035486187,0.24923820390647744,0.18123250224450088
greber-lucie,drama,0.36605926785137594,0.2905197174776396,0.34342101467098446,0.06538373926317988,0.06628300265611235,0.09047486916671375,0.23824348614838398,0.09191786421041981,0.0461916728102286,0.24845302668524433,0.1530523390597172
greber-s-teschtament,comedy,0.36637878512887795,0.29657379480955304,0.337047420061569,0.07331712658459072,0.061080178282727285,0.08273341138109337,0.25453196098371733,0.0800406754563156,0.05862236624440339,0.22667300367354884,0.1630012773936033
greber-sainte-cecile,comedy,0.36385584186371805,0.29667100137492763,0.33947315676135437,0.07447077588811207,0.07042620546428922,0.0817724182992505,0.258917737828856,0.07414290681976542,0.050507826256517487,0.23697910710833017,0.1527830223348792
