word,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
hinmache,0.1957954141377802,0.7099714535703964,0.4999229715643105,0.8781235437833009,0.819300825956752,0.940172102004914,0.0,0.8178666758545216,0.6213271162817818,0.0,0.0
Schlacht,0.133,0.92,0.585,0.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schlachte,0.133,0.92,0.585,0.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schlachter,0.133,0.92,0.585,0.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
umbrenge,0.133,0.92,0.585,0.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Umbringe,0.133,0.92,0.585,0.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
umbringe,0.133,0.92,0.585,0.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
einzigartigi,0.6994068169469672,0.3380579584232493,0.5932208868635654,0.0,0.0,0.0,0.3749999999999999,0.0,0.3202741941168664,0.0,0.0
Saldote,0.392,0.708,0.768,0.258,0.0,0.0,0.0,0.273,0.0,0.0,0.0
soldat,0.392,0.708,0.768,0.258,0.0,0.0,0.0,0.273,0.0,0.0,0.0
Soldate,0.392,0.708,0.768,0.258,0.0,0.0,0.0,0.273,0.0,0.0,0.0
Saldat,0.392,0.708,0.768,0.258,0.0,0.0,0.0,0.273,0.0,0.0,0.0
Soldaten,0.392,0.708,0.768,0.258,0.0,0.0,0.0,0.273,0.0,0.0,0.0
Soldata,0.392,0.708,0.768,0.258,0.0,0.0,0.0,0.273,0.0,0.0,0.0
Saldate,0.392,0.708,0.768,0.258,0.0,0.0,0.0,0.273,0.0,0.0,0.0
Soldat,0.392,0.708,0.768,0.258,0.0,0.0,0.0,0.273,0.0,0.0,0.0
Zammehalte,0.792,0.407,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.0
Spritze,0.4272819971730712,0.509736473994653,0.3215372468445648,0.0,0.0,0.0,0.0,0.0,0.609,0.0,0.0
