drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
's isch mi Fraü, Oncle, wo-n-ich Dir presentier...
                        se-n-isch e wenig schich... kumm denn do ane, liewer
                        Schatz!
",24,4,0.7190016530191431,0.16666666666666666
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet
(embarrassiert)
Herr Oncle, 's freit mich, ass ich d'Ehr ha... Sie jetz
                        do... bi dere G'legeheit...
",21,4,0.7496398770202939,0.19047619047619047
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling
(lislig)
Verschnapp Di nitt... gib Achtung!
",10,2,0.4873544759227855,0.2
unknown,Herr GIGELE,M,,,"Herr Gigele.
Ah, das isch Di Fraü!... ich mach Dr 's Compliment ich
                        begrif jetz, ass Dich d'Liewe-n-uf eimol packt hat...
                        un... 's dürt noch immer, nitt wohr?
",31,4,0.7596995288846924,0.12903225806451613
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Oh... 's isch grad, as wie we mr erst siter hit
                        g'hirothe wàre... nitt wohr, liewe Fraü?
",19,4,0.7560408153968975,0.21052631578947367
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet
(lislig züem Herr Liftling)
Wànn Se glich ufhöre!
",12,2,0.5968050235411417,0.16666666666666666
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling
(lislig)
's isch jo nur fir mich z'verstelle.
",13,2,0.5002597037294592,0.15384615384615385
unknown,Herr GIGELE,M,,,"Herr Gigele.
Das isch brav... awer ich sieh eüre Kinder niene... sin
                        se nitt do?
",15,3,0.733448391376354,0.2
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Aha d'Kinder,
",5,2,0.6928238875551909,0.4
unknown,Herr GIGELE,M,,,"Herr Gigele.
Ah... 's isch eins noch en nourrice?
",9,1,0.578708951845571,0.1111111111111111
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Jo, in Lapoutroie hinte... gàll, liewe Fraü?
",9,2,0.7506214949154748,0.2222222222222222
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
Jo, liewer Mann.
",5,3,0.7399420486088162,0.6
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Dü hasch also ne güete Reis g'macht, Oncle? wottsch Di
                        jetz nitt e wenig setze?
",17,4,0.7374005693895285,0.23529411764705882
unknown,Herr GIGELE,M,,,"Herr Gigele.
Ne ganz güete... un b'sunders, wil ich Dich jetz
                        glicklig un g'hirothe find... denn ich ha-n-allewil
                        Angst g'ha fir Dich, ass De ledig blibsch...
",28,9,0.5728265507291328,0.32142857142857145
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Worum denn Angst, Oncle?... Dü bisch jo o ledig bliwe.
",12,2,0.3976901671345374,0.16666666666666666
unknown,Herr GIGELE,M,,,"Herr Gigele.
's isch wohr... awer wenn ich nitt g'hirothe ha, so
                        isch's, wil mich Die nitt hat welle, wo-n-ich gern g'ha
                        ha... se hat e-n-Anderer g'hirothe... ich ha se awer
                        wege dem doch nie vergesse.

            
",41,5,0.6040787625746777,0.12195121951219512
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Herr Liftling un Jumpfer Fingerhüet.

              
",5,2,0.5968050235411417,0.4
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Tiens, De hasch mr nie nit vo dem g'sàit...
",11,1,0.578708951845571,0.09090909090909091
unknown,Herr GIGELE,M,,,"Herr Gigele.
A propos... Hasch ans Mittagesse denkt?
",8,1,0.578708951845571,0.125
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Mi Fraü geht's jetz gli geh rischte...
",10,2,0.6173544759227856,0.2
unknown,Herr GIGELE,M,,,"Herr Gigele.
C'est ça... un no-n-em Esse gang ich derno ne wenig geh
                        üsrüehe in mim Zimmer.
",19,1,0.578708951845571,0.05263157894736842
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Hasch Dü scho ne Zimmer?
",7,1,0.578708951845571,0.14285714285714285
unknown,Herr GIGELE,M,,,"Herr Gigele.
Ich denk, Dü wirsch mr eins offriere... ich thàt gern e
                        Tag oder zwe bi-n-i bliwe.
",20,2,0.6748084626263149,0.1
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
's isch mir g'wiss Leid, Oncle... awer mr hàn g'wiss kei
                        Platz... nur die zwei kleine Zimmer do un e Bett... nur
                        ei Bett...
",26,3,0.37765343187382,0.11538461538461539
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet
(fir sich)
Was fir e dummer Pläuderi!
",11,4,0.4272419514207362,0.36363636363636365
unknown,Herr GIGELE,M,,,"Herr Gigele.
's isch schad... ich wàr jetz gern do bliwe.
",11,3,0.5023067028118448,0.2727272727272727
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet.
's isch grad do nàwes e-n-Hotel, wo Sie ganz güet känne
                        logiere drin!
",17,4,0.7410956055333082,0.23529411764705882
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
's isch wohr... 's isch ganz nooch..
",9,3,0.7342480279831225,0.3333333333333333
unknown,Herr GIGELE,M,,,"Herr Gigele.
So gang i halt ins Hotel... ich will derno gli geh ne
                        Zimmer arretiere.
",16,2,0.44490775575320585,0.125
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
's isch unnöthig, Oncle, ich will scho geh... Dü
                        brüchsch Di nitt z'derangiere...
",16,1,0.578708951845571,0.0625
unknown,Herr GIGELE,M,,,"Herr Gigele.
Wie De witt... awer blib nitt lang.
",9,2,0.5533585171557529,0.2222222222222222
unknown,Herr ALEXIS LIFTLING,M,,,"Herr Liftling.
Nur e-n-Aügesblick!...
",6,1,0.578708951845571,0.16666666666666666
unknown,Herr GIGELE,M,,,"Herr Gigele
(züer Jumpfer Fingerhüet)
's isch doch e güeter Mann, dr Alexis... wie bin ich
                        doch eso froh, ass ich jetz do bi un ass ich mi Nièce
                        ha lehre kenne... ich müess dich noch emol schmutze
",40,7,0.7460005988003324,0.175
unknown,Herr UNGEDULD,M,,,"Herr Ungeduld
(bi dr Thüre hinte)
Isch's möglig!
",11,2,0.4207132851623788,0.18181818181818182
unknown,Jumpfer FINGERHÜET,F,stylist,,"Jumpfer Fingerhüet
(fir sich)
Dr Herr Ungeduld!
",9,4,0.46953453029370434,0.4444444444444444
unknown,Herr GIGELE,M,,,"Herr Gigele
(züer Jumpfer Fingerhüet)
Was isch das fir e Herr?
",13,4,0.5485323636353004,0.3076923076923077
unknown,Herr UNGEDULD,M,,,"Herr Ungeduld.
Geniert Sie sich nitt, Jumpfer Fingerhüet?... das isch
                        mr ebbes süfers... sich so lo schmutze...
",17,5,0.5288797430753434,0.29411764705882354
unknown,Herr GIGELE,M,,,"Herr Gigele.
Junger Mensch... seige Se wer Se wànn, so thien Se nur
                        nitt gli 's Böse denke... wenn ich mir das erlaübt ha,
                        so ha-n-ich 's Recht derzüe...
",31,4,0.5103089297654194,0.12903225806451613
unknown,Herr UNGEDULD,M,,,"Herr Ungeduld.
Sie hàn 's Recht?... Oh!... wie bin ich so dumm!... ich
                        merk's jetz scho... verzeihe Se mr... awer ich ha halt
                        nitt denkt, ass Sie kamme... ah... wege dem hàn Sie
                        nitt g'antwortet uf dr Brief...
",39,7,0.5006192639316563,0.1794871794871795
unknown,Herr GIGELE,M,,,"Herr Gigele.
Uf dr Brief?...
",5,2,0.6463544759227855,0.4
